GENESIS-Tabelle: 12211-9001
Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen: Deutschland, Jahre (bis 2019), Altersgruppen;;;;
Mikrozensus;;;;
Deutschland;;;;
;;Erwerbstätige;Erwerbslose;Nichterwerbspersonen
60 bis unter 65 Jahre;03/2004;1447;253;4062
60 bis unter 65 Jahre;2005;1402;173;3411
60 bis unter 65 Jahre;2006;1344;164;3031
60 bis unter 65 Jahre;2007;1455;146;2833
60 bis unter 65 Jahre;2008;1526;125;2712
60 bis unter 65 Jahre;2009;1681;136;2557
60 bis unter 65 Jahre;2010;1854;156;2535
60 bis unter 65 Jahre;2011;2095;146;2509
60 bis unter 65 Jahre;2012;2291;157;2484
60 bis unter 65 Jahre;2013;2542;171;2392
60 bis unter 65 Jahre;2014;2693;166;2287
60 bis unter 65 Jahre;2015;2776;151;2299
60 bis unter 65 Jahre;2016;2954;136;2211
60 bis unter 65 Jahre;2017;3094;129;2077
60 bis unter 65 Jahre;2018;3282;113;2038
60 bis unter 65 Jahre;2019;3437;109;2019
65 Jahre und mehr;04/1991;320;7;11776
65 Jahre und mehr;05/1992;323;/;12057
65 Jahre und mehr;04/1993;310;/;12271
65 Jahre und mehr;04/1994;310;5;12623
65 Jahre und mehr;04/1995;321;6;12846
65 Jahre und mehr;04/1996;348;7;12989
65 Jahre und mehr;04/1997;366;7;13151
65 Jahre und mehr;04/1998;363;6;13269
65 Jahre und mehr;04/1999;376;/;13436
65 Jahre und mehr;05/2000;372;/;13787
65 Jahre und mehr;04/2001;401;/;14109
65 Jahre und mehr;04/2002;419;7;14471
65 Jahre und mehr;05/2003;439;6;14888
65 Jahre und mehr;03/2004;450;6;15441
65 Jahre und mehr;2005;520;/;15331
65 Jahre und mehr;2006;542;/;15711
65 Jahre und mehr;2007;594;7;16043
65 Jahre und mehr;2008;643;6;16175
65 Jahre und mehr;2009;668;6;16357
65 Jahre und mehr;2010;668;/;16472
65 Jahre und mehr;2011;746;7;16095
65 Jahre und mehr;2012;808;7;16153
65 Jahre und mehr;2013;896;8;16245
65 Jahre und mehr;2014;966;8;16377
65 Jahre und mehr;2015;1037;9;16634
65 Jahre und mehr;2016;1103;8;16266
65 Jahre und mehr;2017;1182;10;15724
65 Jahre und mehr;2018;1285;10;15985
65 Jahre und mehr;2019;1334;11;15800
__________
"Ab 2005:
Umstellung des Mikrozensus von einer Erhebung mit fester
Berichtswoche auf eine kontinuierliche Erhebung mit
gleitender Berichtswoche.

Ab 2011:
Hochrechnung anhand der Bevölkerungsfortschreibung auf Basis
des Zensus 2011.

Ab 2016:
Aktualisierte Auswahlgrundlage der Stichprobe auf Basis des
Zensus 2011.

Ab 2017:
Ohne Bevölkerung in Gemeinschaftsunterkünften."
© Statistisches Bundesamt (Destatis), 2022
Stand: 30.12.2022 / 12:26:32
